,,,,,
,,,,,
,Number of packets ,Time ,Number of clusters,Number of unique mac addresses,Mac/Cluster ratio
,1,0.003868,1,1,1
,5,0.003206333333333,1,1,1
,10,0.003831,1,1,1
,50,0.003723,9,9,1
,100,0.004540333333333,17,17,1
,250,0.006067666666667,29,29,1
,500,0.007843666666667,53,53,1
,1000,0.012438,72,74,1.02777777777778
,5000,0.032912333333333,159,162,1.0188679245283
,10000,0.067425,326,330,1.01226993865031
,20000,0.132182333333334,419,425,1.01431980906921
,30000,0.25209,547,598,1.09323583180987
,40000,0.410879333333334,696,812,1.16666666666667
,50000,0.526553333333335,830,956,1.15180722891566
,60000,0.669359666666665,1024,1164,1.13671875
,70000,0.847280666666665,1151,1321,1.14769765421373
,80000,1.03466233333333,1334,1510,1.13193403298351
,90000,1.23543733333333,1474,1666,1.13025780189959
,100000,1.48679166666668,1608,1855,1.15360696517413
